PairName,diff
1369-Default-DOC.png 1369-Default-PDF.png,0.8793
1371-Penfield Marine-DOC.png 1371-Penfield Marine-PDF.png,0.8154
14-Default-DOC.png 14-Default-PDF.png,0.8793
1401-Mjolner Aframax Pool-DOC.png 1401-Mjolner Aframax Pool-PDF.png,0.7974
1402-Mjolner Shipping-DOC.png 1402-Mjolner Shipping-PDF.png,0.8172
1403-Mjolner CPP Pool-DOC.png 1403-Mjolner CPP Pool-PDF.png,0.8003
1405-Houston Star-DOC.png 1405-Houston Star-PDF.png,0.9040
1412-Default-DOC.png 1412-Default-PDF.png,0.8793
1413-Tanker Time -DOC.png 1413-Tanker Time -PDF.png,0.8794
1416-Single-DOC.png 1416-Single-PDF.png,0.8725
1417-Default-DOC.png 1417-Default-PDF.png,0.8793
1419-Hawkes Vigo VIII-DOC.png 1419-Hawkes Vigo VIII-PDF.png,0.8672
1420-Mediterranea Di Navigazione-DOC.png 1420-Mediterranea Di Navigazione-PDF.png,0.8651
1421-Silent Shipping-DOC.png 1421-Silent Shipping-PDF.png,0.8677
1422-Single Shipping-DOC.png 1422-Single Shipping-PDF.png,0.8677
1423-Star Transportation-DOC.png 1423-Star Transportation-PDF.png,0.8674
1424-Default-DOC.png 1424-Default-PDF.png,0.8793
1446-Alabama Star-DOC.png 1446-Alabama Star-PDF.png,0.8707
1447-Brunswick-DOC.png 1447-Brunswick-PDF.png,0.8708
1448-Springfield-DOC.png 1448-Springfield-PDF.png,0.8710
1449-Amazonas Tankers-DOC.png 1449-Amazonas Tankers-PDF.png,0.8862
1451-Front Cruiser INC-DOC.png 1451-Front Cruiser INC-PDF.png,0.8762
1452-Front Dynamic I INC-DOC.png 1452-Front Dynamic I INC-PDF.png,0.8762
1454-Front Future INC-DOC.png 1454-Front Future INC-PDF.png,0.8764
1455-Front Favour INC-DOC.png 1455-Front Favour INC-PDF.png,0.8759
1456-Front Feature-DOC.png 1456-Front Feature-PDF.png,0.8765
1461-Default-DOC.png 1461-Default-PDF.png,0.8768
1463-NYC Vessels-DOC.png 1463-NYC Vessels-PDF.png,0.8787
1465-Dragun-DOC.png 1465-Dragun-PDF.png,0.8837
1466-Core-DOC.png 1466-Core-PDF.png,0.8724
1468-Default-DOC.png 1468-Default-PDF.png,0.8623
1470-Default-DOC.png 1470-Default-PDF.png,0.8793
1471-Default-DOC.png 1471-Default-PDF.png,0.8793
1472-Default-DOC.png 1472-Default-PDF.png,0.8793
1473-Mjolner DPP Pool-DOC.png 1473-Mjolner DPP Pool-PDF.png,0.7909
1474-Default-DOC.png 1474-Default-PDF.png,0.8793
1475-Bsk Invoice Order-DOC.png 1475-Bsk Invoice Order-PDF.png,0.8623
1483-Interunity Test-DOC.png 1483-Interunity Test-PDF.png,0.9161
1484-Default B-DOC.png 1484-Default B-PDF.png,0.8740
1486-Sokana Interunity-DOC.png 1486-Sokana Interunity-PDF.png,0.9150
1489-Sokana-DOC.png 1489-Sokana-PDF.png,0.9130
1499-New-2021-DOC.png 1499-New-2021-PDF.png,0.9675
15-Default-DOC.png 15-Default-PDF.png,0.8793
1509-Frontline Shipping Singapore PTE LTD-DOC.png 1509-Frontline Shipping Singapore PTE LTD-PDF.png,0.8748
1510-Front Discovery Inc-DOC.png 1510-Front Discovery Inc-PDF.png,0.8765
1511-Default-DOC.png 1511-Default-PDF.png,0.8793
1521-Default-DOC.png 1521-Default-PDF.png,0.8793
1522-Ampleforth-DOC.png 1522-Ampleforth-PDF.png,0.8851
1523-Wellington-DOC.png 1523-Wellington-PDF.png,0.8852
1524-Winchester-DOC.png 1524-Winchester-PDF.png,0.8851
1525-Default-DOC.png 1525-Default-PDF.png,0.8793
1544-Default-DOC.png 1544-Default-PDF.png,0.8865
